"Reaction URL","Product Page","SMILES #","Data"
"https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0","1","0","REACTION URL: https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0

SMILES #0

REACTANTS:
C(C)(=O)OCC=C(/C)CCC=C(/C)CCC=C(C)C

SOLVENT/REAGENTS:
ClCCl.C(C)(C)(C)OO.[Se](=O)=O.[O-]S(=O)(=S)[O-].[Na+].[Na+]

PRODUCT:
C(C)(=O)OCC=C(CCC=C(CCC=C(C=O)/C)/C)/C

MODAL TITLE:
Reaction Smiles

MODAL CONTENT:
C(C)(=O)OCC=C(/C)CCC=C(/C)CCC=C(C)C>ClCCl.C(C)(C)(C)OO.[Se](=O)=O.[O-]S(=O)(=S)[O-].[Na+].[Na+]>C(C)(=O)OCC=C(CCC=C(CCC=C(C=O)/C)/C)/C

======================================================================"
"https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0","1","1","REACTION URL: https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0

SMILES #1

REACTANTS:
C(C)(=O)OCC=C(CCC=C(CCC=C(C=O)/C)/C)/C

SOLVENT/REAGENTS:
CO[H].[Na+].[BH4-]

PRODUCT:
C(C)(=O)OCC=C(CCC=C(CCC=C(CO)/C)/C)/C

MODAL TITLE:
Reaction Smiles

MODAL CONTENT:
C(C)(=O)OCC=C(CCC=C(CCC=C(C=O)/C)/C)/C>CO[H].[Na+].[BH4-]>C(C)(=O)OCC=C(CCC=C(CCC=C(CO)/C)/C)/C

======================================================================"
"https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0","1","2","REACTION URL: https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0

SMILES #2

REACTANTS:
C(C)(=O)OCC=C(CCC=C(CCC=C(CO)/C)/C)/C

SOLVENT/REAGENTS:
ClCCl.ClC=1C=C(C(=O)OO)C=CC1.C(O)([O-])=O.[Na+]

PRODUCT:
C(C)(=O)OCC=C(CCC=C(CCC1OC1(C)CO)/C)/C

MODAL TITLE:
Reaction Smiles

MODAL CONTENT:
C(C)(=O)OCC=C(CCC=C(CCC=C(CO)/C)/C)/C>ClCCl.ClC=1C=C(C(=O)OO)C=CC1.C(O)([O-])=O.[Na+]>C(C)(=O)OCC=C(CCC=C(CCC1OC1(C)CO)/C)/C

======================================================================"
"https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0","1","3","REACTION URL: https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0

SMILES #3

REACTANTS:
C(C1=CC=CC=C1)(=O)Cl.C(C)(=O)OCC=C(CCC=C(CC[C@@H]1O[C@@]1(C)CO)/C)/C

SOLVENT/REAGENTS:
C1(=CC=NC=C1)N(C)C.ClCCl.CCN(CC)CC

PRODUCT:
C(C1=CC=CC=C1)(=O)OC[C@@]1(O[C@H]1CCC(=CCCC(=CCOC(C)=O)C)C)C

MODAL TITLE:
Reaction Smiles

MODAL CONTENT:
C(C1=CC=CC=C1)(=O)Cl.C(C)(=O)OCC=C(CCC=C(CC[C@@H]1O[C@@]1(C)CO)/C)/C>C1(=CC=NC=C1)N(C)C.ClCCl.CCN(CC)CC>C(C1=CC=CC=C1)(=O)OC[C@@]1(O[C@H]1CCC(=CCCC(=CCOC(C)=O)C)C)C

======================================================================"
"https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0","1","4","REACTION URL: https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0

SMILES #4

REACTANTS:
C(C)(=O)OCC=C(CCC=C(CC[C@@H]1O[C@@]1(C)CO)/C)/C

SOLVENT/REAGENTS:
ClCCl.C(C)(=O)OI1(OC(C2=C1C=CC=C2)=O)(OC(C)=O)OC(C)=O

PRODUCT:
C(C)(=O)OCC=C(CCC=C(CC[C@@H]1O[C@]1(C)C=O)/C)/C

MODAL TITLE:
Reaction Smiles

MODAL CONTENT:
C(C)(=O)OCC=C(CCC=C(CC[C@@H]1O[C@@]1(C)CO)/C)/C>ClCCl.C(C)(=O)OI1(OC(C2=C1C=CC=C2)=O)(OC(C)=O)OC(C)=O>C(C)(=O)OCC=C(CCC=C(CC[C@@H]1O[C@]1(C)C=O)/C)/C

======================================================================"
"https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0","1","5","REACTION URL: https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0

SMILES #5

REACTANTS:
C(C)(=O)OCC=C(CCC=C(CC[C@@H]1O[C@]1(C)C=O)/C)/C

SOLVENT/REAGENTS:
O.C1CCCO1.CC(C)(C)O.Cl(=O)[O-].[Na+].CC(C)=CC

PRODUCT:
C(C)(=O)OCC=C(CCC=C(CC[C@@H]1O[C@]1(C)C(=O)O)/C)/C

MODAL TITLE:
Reaction Smiles

MODAL CONTENT:
C(C)(=O)OCC=C(CCC=C(CC[C@@H]1O[C@]1(C)C=O)/C)/C>O.C1CCCO1.CC(C)(C)O.Cl(=O)[O-].[Na+].CC(C)=CC>C(C)(=O)OCC=C(CCC=C(CC[C@@H]1O[C@]1(C)C(=O)O)/C)/C

======================================================================"
"https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0","1","6","REACTION URL: https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0

SMILES #6

REACTANTS:
S(=O)(=O)(OC)OC.C(C)(=O)OCC=C(CCC=C(CC[C@@H]1O[C@]1(C)C(=O)O)/C)/C

SOLVENT/REAGENTS:
C([O-])([O-])=O.[K+].[K+].CC(=O)C

PRODUCT:
C(C)(=O)OC/C=C(/CC/C=C(/CC[C@H]1[C@@](O1)(C(=O)OC)C)C)C

MODAL TITLE:
Reaction Smiles

MODAL CONTENT:
S(=O)(=O)(OC)OC.C(C)(=O)OCC=C(CCC=C(CC[C@@H]1O[C@]1(C)C(=O)O)/C)/C>C([O-])([O-])=O.[K+].[K+].CC(=O)C>C(C)(=O)OC/C=C(/CC/C=C(/CC[C@H]1[C@@](O1)(C(=O)OC)C)C)C

======================================================================"
"https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0","1","7","REACTION URL: https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0

SMILES #7

REACTANTS:
C[Si](C)(C)Cl.C(C)(=O)OC/C=C(/CC/C=C(/CC[C@H]1[C@@](O1)(C(=O)OC)C)C)C

SOLVENT/REAGENTS:
C1CCCO1.Cl.N1=C(C=C(C=C1C)C)C.[cH-]1cccc1.[cH-]1cccc1.Cl[Ti+2]Cl.[Mn]

PRODUCT:
C(C)(=O)OC[C@@H]1[C@]2(CC[C@@H]([C@]([C@@H]2CCC1=C)(C(=O)OC)C)O)C

MODAL TITLE:
Reaction Smiles

MODAL CONTENT:
C[Si](C)(C)Cl.C(C)(=O)OC/C=C(/CC/C=C(/CC[C@H]1[C@@](O1)(C(=O)OC)C)C)C>C1CCCO1.Cl.N1=C(C=C(C=C1C)C)C.[cH-]1cccc1.[cH-]1cccc1.Cl[Ti+2]Cl.[Mn]>C(C)(=O)OC[C@@H]1[C@]2(CC[C@@H]([C@]([C@@H]2CCC1=C)(C(=O)OC)C)O)C

======================================================================"
"https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0","1","8","REACTION URL: https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0

SMILES #8

REACTANTS:
C(C)(=O)OC[C@@H]2[C@]1(CC[C@@H]([C@]([C@@H]1CCC2=C)(C(=O)[O-])C)OC(=S)S[Na])C

SOLVENT/REAGENTS:
C1(=CC=CC=C1)C.CC(C)(C#N)/N=N/C(C)(C)C#N.C(CCC)[SnH](CCCC)CCCC

PRODUCT:
C(C)(=O)OC[C@@H]1[C@]2(CCC[C@]([C@@H]2CCC1=C)(C(=O)OC)C)C

MODAL TITLE:
Reaction Smiles

MODAL CONTENT:
C(C)(=O)OC[C@@H]2[C@]1(CC[C@@H]([C@]([C@@H]1CCC2=C)(C(=O)[O-])C)OC(=S)S[Na])C>C1(=CC=CC=C1)C.CC(C)(C#N)/N=N/C(C)(C)C#N.C(CCC)[SnH](CCCC)CCCC>C(C)(=O)OC[C@@H]1[C@]2(CCC[C@]([C@@H]2CCC1=C)(C(=O)OC)C)C

======================================================================"
"https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0","1","9","REACTION URL: https://kmt.vander-lingen.nl/data/reaction/doi/10.1021/jacsau.4c01276/start/0

SMILES #9

REACTANTS:
C(C)(=O)OC[C@@H]1[C@]2(CCC[C@]([C@@H]2CCC1=C)(C(=O)OC)C)C

SOLVENT/REAGENTS:
C(Cl)(Cl)(Cl)[H].CO[H].C([O-])([O-])=O.[K+].[K+]

PRODUCT:
OC[C@@H]1[C@]2(CCC[C@]([C@@H]2CCC1=C)(C(=O)OC)C)C

MODAL TITLE:
Reaction Smiles

MODAL CONTENT:
C(C)(=O)OC[C@@H]1[C@]2(CCC[C@]([C@@H]2CCC1=C)(C(=O)OC)C)C>C(Cl)(Cl)(Cl)[H].CO[H].C([O-])([O-])=O.[K+].[K+]>OC[C@@H]1[C@]2(CCC[C@]([C@@H]2CCC1=C)(C(=O)OC)C)C

======================================================================"
